Czas,AbsSum,Sum
10.731,0.15332382952048618,-0.15332382952048618
10.732,0.20055725385855794,-0.20055725385855794
10.733,0.22035679144520626,-0.22035679144520626
10.734,0.20949082251827744,-0.20949082251827744
10.735,0.17119259597130843,-0.17119259597130843
10.736,0.11441178735995139,-0.11441178735995139
10.737,0.05156209540654666,-0.05156209540654666
10.738,0.004663869092063289,0.004663869092063289
10.739,0.04453340427349595,0.04453340427349595
10.74,0.06363088334980382,0.06363088334980382
10.741,0.06362930732735483,0.06362930732735483
10.742,0.05123601019214896,0.05123601019214896
10.743,0.03563267141660975,0.03563267141660975
10.744,0.02521094686353731,0.02521094686353731
10.745,0.024647191767025234,0.024647191767025234
10.746,0.03327367737184406,0.03327367737184406
10.747,0.045304219520576394,0.045304219520576394
10.748,0.05187819043130215,0.05187819043130215
10.749,0.04428642563917329,0.04428642563917329
10.75,0.017332599806145987,0.017332599806145987
10.751,0.028295015064015994,-0.028295015064015994
10.752,0.08547818859635392,-0.08547818859635392
10.753,0.1422157587518459,-0.1422157587518459
10.754,0.18485567561700744,-0.18485567561700744
10.755,0.20204673273726392,-0.20204673273726392
10.756,0.1881867003184141,-0.1881867003184141
10.757,0.14527508247192789,-0.14527508247192789
